	Lineage
id2770776	Bacteria; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides; Clostridioides_ES-S-0010-02; 2770776
id2770780	Bacteria; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides; Clostridioides_ES-S-0054-01; 2770780
id2770788	Bacteria; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides; Clostridioides_ES-W-0016-02; 2770788
id1870884	Bacteria; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides; Clostridioides_sp; 1870884
id143361	Bacteria; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Filifactor; Filifactor_alocis; 143361
id186804	Bacteria; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; NA; Peptostreptococcaceae_sp; 186804
id68298	Bacteria; Bacillota; Clostridia; Eubacteriales; Syntrophomonadaceae; NA; Syntrophomonadaceae_sp; 68298
id2173034	Bacteria; Bacillota; Clostridia; Eubacteriales; Vallitaleaceae; Petrocella; Petrocella_atlantisensis; 2173034
id938288	Bacteria; Bacillota; Clostridia; Eubacteriales; NA; Fenollaria; Fenollaria_massiliensis; 938288
id186802	Bacteria; Bacillota; Clostridia; Eubacteriales; NA; NA; Eubacteriales_sp; 186802
id186801	Bacteria; Bacillota; Clostridia; NA; NA; NA; Clostridia_sp; 186801
id1522	Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia; Clostridium_innocuum; 1522
id1547	Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia; Thomasclavelia_ramosa; 1547
id2929157	Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix; Erysipelothrix_A18Y020d; 2929157
id2485784	Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix; Erysipelothrix_piscisicarius; 2485784
id1648	Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix; Erysipelothrix_rhusiopathiae; 1648
id1647	Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix; Erysipelothrix_sp; 1647
id39483	Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Faecalitalea; Faecalitalea_cylindroides; 39483
id526525	Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; NA; NA; Erysipelotrichales_sp; 526525
id971	Bacteria; Bacillota; Negativicutes; Selenomonadales; Selenomonadaceae; Selenomonas; Selenomonas_ruminantium; 971
id970	Bacteria; Bacillota; Negativicutes; Selenomonadales; Selenomonadaceae; Selenomonas; Selenomonas_sp; 970
id2754044	Bacteria; Bacillota; Negativicutes; Selenomonadales; Selenomonadaceae; Selenomonas; Selenomonas_timonae; 2754044
id1843491	Bacteria; Bacillota; Negativicutes; Selenomonadales; Selenomonadaceae; NA; Selenomonadaceae_sp; 1843491
id29465	Bacteria; Bacillota; Negativicutes; Veillonellales; Veillonellaceae; Veillonella; Veillonella_sp; 29465
id33034	Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus; Anaerococcus_prevotii; 33034
id165779	Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus; Anaerococcus_sp; 165779
id40091	Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Helcococcus; Helcococcus_kunzii; 40091
id2931922	Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Miniphocaeibacter; Miniphocaeibacter_halophilus; 2931922
id1852373	Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Murdochiella; Murdochiella_vaginalis; 1852373
id33033	Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Parvimonas; Parvimonas_micra; 33033
id3016343	Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus; Peptoniphilus_CBA3646; 3016343
id54005	Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus; Peptoniphilus_harei; 54005
id1570339	Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; NA; Peptoniphilaceae_sp; 1570339
id46507	Bacteria; Bacillota; Tissierellia; NA; NA; Ezakiella; Ezakiella_coagulans; 46507
id1582879	Bacteria; Bacillota; Tissierellia; NA; NA; Ezakiella; Ezakiella_sp; 1582879
id1737404	Bacteria; Bacillota; Tissierellia; NA; NA; NA; Tissierellia_sp; 1737404
id1239	Bacteria; Bacillota; NA; NA; NA; NA; Bacillota_sp; 1239
id2528203	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_A1C1; 2528203
id47678	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_caccae; 47678
id1796613	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_caecimuris; 1796613
id246787	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_cellulosilyticus; 246787
id2847299	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_DH3716P; 2847299
id28111	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_eggerthii; 28111
id674529	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_faecis; 674529
id2715212	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_faecium; 2715212
id817	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_fragilis; 817
id2650158	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_luhongzhouii; 2650158
id2763022	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_M10; 2763022
id291645	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_nordii; 291645
id28116	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_ovatus; 28116
id291644	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_salyersiae; 291644
id816	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_sp; 816
id46506	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_stercoris; 46506
id818	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_thetaiotaomicron; 818
id820	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_uniformis; 820
id371601	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_xylanisolvens; 371601
id2650157	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_zhangwenhongii; 2650157
id387090	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola; Phocaeicola_coprophilus; 387090
id357276	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola; Phocaeicola_dorei; 357276
id376805	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola; Phocaeicola_salanitronis; 376805
id909656	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola; Phocaeicola_sp; 909656
id821	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola; Phocaeicola_vulgatus; 821
id815	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; NA; Bacteroidaceae_sp; 815
id397865	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella; Barnesiella_viscericola; 397865
id156973	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Dysgonomonadaceae; Dysgonomonas; Dysgonomonas_sp; 156973
id1642646	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Dysgonomonadaceae; Petrimonas; Petrimonas_mucosa; 1642646
id2829812	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Dysgonomonadaceae; Proteiniphilum; Proteiniphilum_propionicum; 2829812
id1642647	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Dysgonomonadaceae; Proteiniphilum; Proteiniphilum_saccharofermentans; 1642647
id294702	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Dysgonomonadaceae; Proteiniphilum; Proteiniphilum_sp; 294702
id2005520	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Dysgonomonadaceae; NA; Dysgonomonadaceae_sp; 2005520
id28118	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Odoribacteraceae; Odoribacter; Odoribacter_splanchnicus; 28118
id1853231	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Odoribacteraceae; NA; Odoribacteraceae_sp; 1853231
id185300	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Paludibacteraceae; Paludibacter; Paludibacter_propionicigenes; 185300
id28123	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas_asaccharolytica; 28123
id36874	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas_cangingivalis; 36874
id837	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas_gingivalis; 837
id322095	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas_somerae; 322095
id836	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas_sp; 836
id454155	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_xylaniphila; 454155
id52227	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_dentalis; 52227
id28131	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_intermedia; 28131
id28132	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_melaninogenica; 28132
id28133	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_nigrescens; 28133
id838	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_sp; 838
id171552	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; NA; Prevotellaceae_sp; 171552
id2585118	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_communis; 2585118
id328814	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_shahii; 328814
id823	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; Parabacteroides_distasonis; 823
id328812	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; Parabacteroides_goldsteinii; 328812
id387661	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; Parabacteroides_johnsonii; 387661
id46503	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; Parabacteroides_merdae; 46503
id375288	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides; Parabacteroides_sp; 375288
id28112	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Tannerella; Tannerella_forsythia; 28112
id171549	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; NA; NA; Bacteroidales_sp; 171549
id2949635	Bacteria; Bacteroidota; Bacteroidia; Marinilabiliales; Marinilabiliaceae; Alkaliflexus; Alkaliflexus_Ai-910; 2949635
id2681766	Bacteria; Bacteroidota; Bacteroidia; Marinilabiliales; Prolixibacteraceae; Maribellus; Maribellus_comscasis; 2681766
id200643	Bacteria; Bacteroidota; Bacteroidia; NA; NA; NA; Bacteroidia_sp; 200643
id246875	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae; Algoriphagus; Algoriphagus_sp; 246875
id59739	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Flammeovirgaceae; Flammeovirga; Flammeovirga_sp; 59739
id2896860	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Spirosomaceae; NA; Spirosomaceae_sp; 2896860
id768507	Bacteria; Bacteroidota; Cytophagia; Cytophagales; NA; NA; Cytophagales_sp; 768507
id1888890	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga_omnivescoria; 1888890
id326319	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Dokdonia; Dokdonia_sp; 326319
id2175091	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_album; 2175091
id2602769	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_alkalisoli; 2602769
id1784713	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_arcticum; 1784713
id2704140	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_bizetiae; 2704140
id2502784	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_cerinum; 2502784
id2294119	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_CJ74; 2294119
id1114861	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_collinsii; 1114861
id2183896	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_crocinum; 2183896
id2893884	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_F-70; 2893884
id1492737	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_gilvum; 1492737
id2748319	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_I3-2; 2748319
id3016339	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_IMCC36792; 3016339
id2748320	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_inviolabile; 2748320
id2746225	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_K5-23; 2746225
id1678728	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_kingsejongi; 1678728
id2856519	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_litorale; 2856519
id2989816	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_MFBS3-15; 2989816
id2885633	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_N1719; 2885633
id96345	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_psychrophilum; 96345
id2201181	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_sediminis; 2201181
id237	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium_sp; 237
id1170699	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Galbibacter; Galbibacter_BG1; 1170699
id1218801	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Kordia; Kordia_antarctica; 1218801
id983544	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Lacinutrix; Lacinutrix_5H-3-7-4; 983544
id291183	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Lacinutrix; Lacinutrix_sp; 291183
id313603	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; Maribacter_HTCC2170; 313603
id1836467	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; Maribacter_hydrothermalis; 1836467
id252356	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; Maribacter_sp; 252356
id1583100	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Myroides; Myroides_A21; 1583100
id2562892	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Myroides; Myroides_albus; 2562892
id2572594	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Myroides; Myroides_fluvii; 2572594
id76832	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Myroides; Myroides_odoratimimus; 76832
id702745	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Myroides; Myroides_phaeus; 702745
id480520	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Myroides; Myroides_profundi; 480520
id76831	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Myroides; Myroides_sp; 76831
id639310	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Olleya; Olleya_aquimaris; 639310
id2932268	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroserpens; Psychroserpens_MSW6; 2932268
id754423	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Tenacibaculum; Tenacibaculum_SZ-18; 754423
id2686078	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Winogradskyella; Winogradskyella_schleiferi; 2686078
id49546	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; NA; Flavobacteriaceae_sp; 49546
id1778601	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Apibacter; Apibacter_sp; 1778601
id2997336	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium; Chryseobacterium_CY350; 2997336
id2852098	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium; Chryseobacterium_faecale; 2852098
id59732	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium; Chryseobacterium_sp; 59732
id28251	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Ornithobacterium; Ornithobacterium_rhinotracheale; 28251
id1014	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Weeksella; Weeksella_virosa; 1014
id2762318	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; NA; Weeksellaceae_sp; 2762318
id200644	Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; NA; NA; Flavobacteriales_sp; 200644
id3025666	Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter; Mucilaginibacter_KACC_22063; 3025666
id371142	Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium; Sphingobacterium_daejeonense; 371142
id28453	Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium; Sphingobacterium_sp; 28453
id84566	Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; NA; Sphingobacteriaceae_sp; 84566
id976	Bacteria; Bacteroidota; NA; NA; NA; NA; Bacteroidota_sp; 976
id349221	Bacteria; Bdellovibrionota; Bdellovibrionia; Bdellovibrionales; Pseudobdellovibrionaceae; Micavibrio; Micavibrio_aeruginosavorus; 349221
id28198	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Arcobacteraceae; Aliarcobacter; Aliarcobacter_cryaerophilus; 28198
id1813595	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_2014D-0216; 1813595
id449520	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_canadensis; 449520
id2572074	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_CFSAN093224; 2572074
id2572069	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_CFSAN093227; 2572069
id2572059	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_CFSAN093241; 2572059
id2572050	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_CFSAN093246; 2572050
id2572082	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_CFSAN093256; 2572082
id195	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_coli; 195
id374106	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_cuniculorum; 374106
id1813019	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_hepaticus; 1813019
id198	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_hyointestinalis; 198
id260714	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_insulaenigrae; 260714
id197	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_jejuni; 197
id201	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_lari; 201
id2267891	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_novaezeelandiae; 2267891
id1848766	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_ornithocola; 1848766
id488546	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_peloridis; 488546
id1032242	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_RM10537; 1032242
id194	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_sp; 194
id28080	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_upsaliensis; 28080
id827	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_ureolyticus; 827
id1655500	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_vulpis; 1655500
id213849	Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; NA; NA; Campylobacterales_sp; 213849
id456827	Bacteria; Candidatus_Cloacimonetes; NA; NA; NA; Candidatus_Cloacimonas; Cloacimonas_acidaminovorans; 456827
id2841264	Bacteria; Candidatus_Saccharibacteria; NA; NA; NA; Candidatus_Minimicrobia; Minimicrobia_vallesae; 2841264
id289435	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Aphanizomenonaceae; Sphaerospermopsis; Sphaerospermopsis_kisseleviana; 289435
id1203	Bacteria; Cyanobacteriota; Cyanophyceae; Nostocales; Scytonemataceae; Scytonema; Scytonema_sp; 1203
id3028117	Bacteria; Cyanobacteriota; Cyanophyceae; NA; NA; NA; Cyanophyceae_sp; 3028117
id52022	Bacteria; Deinococcota; Deinococci; Thermales; Thermaceae; Allomeiothermus; Allomeiothermus_silvanus; 52022
id849	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; Fusobacterium_gonidiaformans; 849
id851	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; Fusobacterium_nucleatum; 851
id712357	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Leptotrichia; Leptotrichia_oral_taxon_212; 712357
id1129771	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; NA; Leptotrichiaceae_sp; 1129771
id2782163	Bacteria; Mycoplasmatota; Candidatus_Izimaplasma; Candidatus_Izemoplasmatales; Candidatus_Izemoplasmataceae; Xianfuyuplasma; Xianfuyuplasma_coldseepsis; 2782163
id33926	Bacteria; Mycoplasmatota; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus_Phytoplasma; Phytoplasma_sp; 33926
id2095	Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmatales; Mycoplasmataceae; Mycoplasma; Mycoplasma_capricolum; 2095
id2102	Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmatales; Mycoplasmataceae; Mycoplasma; Mycoplasma_mycoides; 2102
id2683967	Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmatales; Mycoplasmataceae; Mycoplasma; Mycoplasma_NEAQ87857; 2683967
id358	Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Agrobacterium; Agrobacterium_tumefaciens; 358
id356	Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; NA; NA; Hyphomicrobiales_sp; 356
id1263979	Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Candidatus_Endolissoclinum; Endolissoclinum_faulkneri; 1263979
id28211	Bacteria; Pseudomonadota; Alphaproteobacteria; NA; NA; NA; Alphaproteobacteria_sp; 28211
id1758194	Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter; Achromobacter_AONIH1; 1758194
id1353891	Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter; Achromobacter_deleyi; 1353891
id32002	Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter; Achromobacter_denitrificans; 32002
