taxon	SRR12823316	SRR12823317	SRR12823328	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823362	SRR12823373	SRR12823383	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823407	SRR12823408	SRR12823410	SRR12823411	SRR12823412	SRR12823430	SRR12823431	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	SRR12823315	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823340	SRR12823341	SRR12823342	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823401	SRR12823409	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	Kingdom	Phylum	Class	Order	Family	Genus	Species
Neisseria Genus	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	95	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	91	63	48	0	0	785	0	849	63	927	264	0	0	0	37	0	54	0	7	0	23	358	55	0	0	94	0	0	0	171	0	0	0	0	0	141	7	0	163	1439	0	122	0	0	567	191	0	50	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria Genus
Enterobacteriaceae Family	6	59	0	74	6	186	149	60	21	2	55	2	0	2	134	125	0	14	68	17	0	2	37	55	206	69	43	61	5	0	0	6	0	0	10	402	20	1	12	654	30	14	1	581	47	0	10	13	206	116	34	0	0	1	0	0	0	0	49	0	27	4	9	2	3	934	0	0	160	0	0	0	0	0	0	62	0	0	8	19	0	9	8	0	1	0	0	730	0	0	0	0	20	7	0	15	5	11	12	46	14	41	0	14	17	278	0	8	12	22	0	0	42	130	62	0	200	1	4	15	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		Enterobacteriaceae Family
Hymenobacter Genus	0	0	0	38	0	89	156	282	1543	0	44	3	0	0	94	187	3	0	0	64	0	0	653	0	1682	0	0	22	24	0	0	0	0	4	0	67	0	23	642	0	34	0	0	12	0	0	8	71	281	21	0	0	0	0	0	0	7	0	45	0	0	5	3	43	23	0	0	0	0	0	2	0	2	0	0	27	2	7	0	0	0	0	6	6	0	0	0	0	0	0	0	0	14	0	0	0	97	0	6	5	22	0	0	14	0	76	0	0	0	68	0	0	0	0	0	0	0	0	0	0	53	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter Genus
Micrococcus alkanovora/aloeverae/endophyticus/flavus/indicus/luteus/thailandicus/yunnanensis	283	1	11	1527	11	38	219	132	5	8	66	40	4	0	52	8	34	8	0	68	20	19	165	84	60	62	0	25	26	192	7	63	0	0	2	92	37	40	67	26	149	138	13	192	62	18	13	32	248	134	262	118	0	9	14	83	0	37	237	0	38	5	0	6	124	46	0	0	49	0	0	0	1	0	14	10	0	0	21	1	0	0	11	178	13	0	0	0	0	4	0	30	56	13	28	7	27	2	25	17	10	15	0	0	7	47	6	11	13	18	0	0	19	97	28	0	5	74	12	10	18	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus alkanovora/aloeverae/endophyticus/flavus/indicus/luteus/thailandicus/yunnanensis
Bradyrhizobium algeriense/americanum/arachidis/betae/cajani/canariense/centrosematis/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/mercantei/namibiense/neotropicale/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense	27	0	0	0	2	52	74	12	23	2	46	5	17	0	9	41	0	49	6	0	0	6	98	68	82	5	0	83	5	58	5	40	26	8	0	12	38	5	71	311	10	8	0	4	26	28	0	44	91	21	178	2	11	0	11	43	3	11	86	0	4	0	18	0	4	6	0	2	6	0	6	0	8	3	37	4	0	7	12	0	3	2	5	33	0	508	1251	1666	215	0	0	17	6	17	48	34	49	7	1	15	10	89	5	0	54	112	9	10	2	6	0	13	21	20	1	0	0	53	14	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium algeriense/americanum/arachidis/betae/cajani/canariense/centrosematis/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/mercantei/namibiense/neotropicale/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense
Rhodanobacteraceae Family	25	3	0	16	22	0	64	22	13	6	102	2	0	0	26	0	10	27	6	4	0	0	69	65	0	0	0	69	0	27	6	33	22	3	0	52	168	0	32	141	20	19	2	15	94	4	20	90	429	37	0	0	9	0	9	89	14	47	3	0	4	2	16	3	15	29	0	0	3	0	23	0	45	27	0	0	2	14	0	2	36	25	0	0	0	0	809	937	1671	0	0	0	3	12	14	10	99	27	4	0	0	0	0	0	45	97	34	43	0	5	0	9	72	26	4	2	3	0	3	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae		Rhodanobacteraceae Family
Corynebacterium afermentans/coyleae/fournieri/ihumii/mucifaciens/pilbarense/ureicelerivorans	26	86	0	7	0	0	0	1	0	47	0	0	547	0	6	130	0	7	0	33	0	0	18	1623	0	9	1284	33	4	20	0	6	0	0	5	24	53	0	30	528	10	0	7	9	0	0	80	0	0	35	0	290	15	5	0	0	0	18	15	0	16	0	0	0	0	1	0	4	13	14	168	0	8	0	0	0	0	2	0	0	20	4	0	5	2	0	0	0	0	0	0	0	0	2	10	9	0	10	0	25	314	9	14	103	9	17	16	0	1	13	0	68	29	15	115	6	0	4	5	0	9	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium afermentans/coyleae/fournieri/ihumii/mucifaciens/pilbarense/ureicelerivorans
Abiotrophia defectiva	0	0	0	0	0	3	103	130	0	1044	328	0	0	0	21	157	0	0	0	316	0	26	331	3	61	0	0	7	5	0	0	5	0	0	0	16	15	64	137	0	31	51	73	0	195	172	41	1	14	36	30	0	1	0	0	0	1	43	175	15	203	44	5	26	120	17	81	7	75	0	1	0	0	17	7	36	0	0	0	0	31	59	95	50	75	0	0	0	0	0	0	0	5	98	14	54	30	3	32	127	12	15	15	138	0	261	0	6	12	89	7	0	58	129	16	15	20	166	127	13	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva
Massilia alkalitolerans/brevitalea/jejuensis/neuiana/niabensis/suwonensis/timonae/varians	35	0	0	109	8	24	596	163	161	2	39	14	41	0	61	14	0	10	0	13	8	5	26	35	467	6	7	24	0	17	0	17	0	0	0	71	0	28	121	59	7	3	0	31	55	33	0	63	61	74	1046	0	4	0	0	0	0	0	0	5	0	0	28	0	4	38	0	0	0	1	0	0	0	0	0	0	5	3	0	0	0	0	0	56	13	705	28	868	218	2	0	0	9	0	0	8	58	0	1	0	18	21	0	7	22	190	0	0	0	118	0	6	12	0	0	0	6	53	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia alkalitolerans/brevitalea/jejuensis/neuiana/niabensis/suwonensis/timonae/varians
Streptococcus mitis/phage/pneumoniae/pseudopneumoniae	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0	0	0	0	8	63	0	0	0	0	0	3467	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	288	316	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis/phage/pneumoniae/pseudopneumoniae
Peptoniphilus Genus	0	134	0	2	0	0	31	0	0	0	0	4	0	0	11	14	0	0	0	0	0	3	0	0	6	0	0	0	5	0	0	3	0	0	0	0	0	13	7	0	3	24	1	6	0	0	3	0	0	34	0	0	0	0	0	0	0	0	0	6	31	2	0	0	0	8	2	0	7	2	0	1605	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	5	0	0	0	5	0	6	3870	0	0	12	33	0	0	1	0	2	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus Genus
Staphylococcus argenteus/aureus/epidermidis	129	0	0	0	0	5	0	31	0	0	0	0	0	0	0	18	23	0	0	12	0	0	0	60	0	0	13	305	0	182	0	0	4134	0	0	0	164	0	0	41	0	0	0	0	171	0	42	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus argenteus/aureus/epidermidis
Corynebacterium massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	459	0	1010	0	0	0	0	1600	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	87	0	0	0	0	14	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	4	0	1210	0	3	0	15	0	766	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium massiliense
Sphingomonas Genus	0	0	0	110	0	174	189	448	390	0	0	6	2	0	108	112	3	24	2	342	0	0	242	37	710	5	0	0	8	0	0	64	17	0	0	58	0	26	499	136	12	6	3	34	19	48	0	127	175	12	86	0	18	0	0	0	3	0	23	0	0	10	0	2	30	0	0	11	20	0	0	0	0	0	0	85	0	0	0	4	12	0	10	37	7	301	0	0	0	2	0	5	17	0	0	0	0	0	10	16	5	0	0	0	130	281	18	14	0	0	0	0	7	28	7	0	0	29	5	1	10	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas Genus
Acinetobacter lwoffii	43	0	0	299	26	1	20	85	66	2	91	135	0	0	376	0	0	469	0	0	0	75	91	0	20	19	0	562	25	8	0	215	4	7	0	384	0	180	91	0	30	78	0	10	0	4	0	224	390	684	14	17	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	44	118	6	0	9	9	0	18	6	5	32	0	0	0	24	0	3	0	1	0	0	0	97	23	0	0	57	33	4	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii
Actinomyces Genus	0	8	4	0	4	10	32	6	21	339	58	1	0	0	2	45	0	0	60	101	0	51	35	20	0	102	4	5	0	0	0	11	0	0	85	8	19	20	22	10	34	9	44	0	45	0	119	30	6	14	0	0	0	0	27	2	12	9	2	37	30	62	2	0	177	8	163	14	32	0	33	0	0	142	0	135	572	5	0	3	175	278	530	244	117	0	0	0	0	6	0	0	40	10	12	11	14	7	24	36	7	30	0	6	0	0	0	259	2	47	0	0	14	135	37	130	37	69	114	44	8	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces Genus
Corynebacterium Genus	4	27	2	32	676	0	24	0	4	1	16	167	18	0	44	44	3	9	0	31	0	7	116	54	7	0	29	19	8	0	173	205	0	10	0	24	0	17	110	70	16	13	1	0	5	11	1	26	24	37	19	8	1327	5	0	0	0	11	64	0	0	0	0	11	18	5	0	0	13	36	279	0	234	0	0	8	1	2	0	13	13	0	7	13	1	141	0	0	0	0	0	0	9	0	0	3	50	0	0	0	20	386	5	28	0	0	1	5	5	71	0	201	14	37	0	0	6	8	11	10	0	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium Genus
Campylobacter ureolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	4544	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	132	0	2	0	3	0	0	0	0	0	0	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter ureolyticus
Ralstonia detusculanense/insidiosa/mannitolilytica/pickettii/solanacearum/syzygii	0	0	0	3	2	31	0	0	5	22	2	4	0	0	0	0	50	0	5	0	1	0	2	24	4	0	231	986	0	0	4	2	1	2	4	300	1264	32	149	567	8	4	4	29	244	109	0	0	58	335	0	5	0	3	2	3	10	26	0	2	0	0	0	0	14	0	2	7	0	0	8	0	1	0	0	0	0	6	0	3	2	4	8	1	1	0	0	257	1	4	0	22	19	0	6	0	10	0	0	3	1	21	0	5	0	136	3	0	2	2	3	7	0	0	7	4	0	0	4	5	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia detusculanense/insidiosa/mannitolilytica/pickettii/solanacearum/syzygii
Pasteurellaceae Family	0	0	0	0	0	1	58	71	0	352	0	0	9	0	0	20	24	0	0	6	0	0	0	7	11	14	0	0	0	0	0	13	0	0	0	0	0	103	17	44	13	8	15	0	14	119	307	6	0	0	0	0	0	2	452	71	115	0	55	124	54	127	18	31	0	0	201	56	0	10	580	0	20	53	0	244	2	0	0	0	50	49	14	0	393	0	0	0	0	29	0	0	37	13	12	146	0	0	12	297	0	22	0	28	0	43	0	0	7	27	0	6	275	10	80	17	3	2	4	11	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae		Pasteurellaceae Family
Chryseobacterium Genus	0	0	0	101	11	16	42	74	1950	0	5	13	0	0	164	0	0	21	6	8	0	9	162	110	230	3	2	10	3	17	0	13	27	1	0	130	27	27	94	846	14	12	0	36	1	0	0	107	114	57	0	0	0	0	0	0	0	0	0	0	0	12	8	7	18	14	0	0	31	0	0	0	6	0	0	0	0	0	0	7	0	0	0	70	3	0	0	0	0	0	0	0	34	0	0	0	8	0	3	8	10	0	0	0	0	0	0	0	0	16	0	4	10	0	0	0	0	155	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium Genus
Prevotella_9 copri	0	0	0	110	4	0	0	0	15	3	23	11	10	0	192	21	5	0	0	8	0	114	114	0	4	0	0	66	0	0	0	116	0	7	0	153	0	159	17	36	2	7	0	0	11	6	2	97	0	34	0	8	9	0	0	104	2	0	0	0	0	0	16	4	0	0	0	0	26	0	8	0	40	0	50	82	4	1	0	13	0	0	0	0	0	0	865	0	72	0	9	6	86	8	45	0	24	21	3	78	73	0	1	17	0	0	0	0	0	11	7	0	152	256	564	0	0	5	739	52	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	Prevotella_9 copri
Actinomyces naeslundii/oris/viscosus	0	0	0	0	2	73	421	99	26	124	260	4	0	0	13	218	7	6	0	202	0	11	0	16	34	0	0	19	0	0	0	9	0	0	0	15	15	22	113	0	118	61	100	87	447	47	22	32	15	46	15	0	0	0	16	10	13	11	25	33	53	62	3	6	0	8	0	0	16	0	0	0	0	0	0	13	0	0	0	0	9	27	14	0	99	0	0	0	0	0	0	0	4	6	35	249	68	2	11	226	19	73	0	53	0	180	6	20	15	98	3	3	11	115	0	0	0	55	326	0	9	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces naeslundii/oris/viscosus
Lactococcus garvieae/lactis/taiwanensis	0	1	2	0	15	503	189	186	15	4	90	12	3	1	29	0	18	0	6	8	0	0	19	6	351	166	4	0	8	0	0	0	0	0	99	75	0	11	39	0	9	9	0	606	8	0	14	7	109	150	0	0	0	0	0	0	0	0	75	5	5	13	12	9	0	108	5	0	157	3	16	0	3	8	0	8	0	0	19	7	0	33	9	13	73	0	0	0	0	4	0	0	46	0	2	34	26	2	22	20	2	70	0	6	36	758	0	8	0	5	0	19	127	18	42	9	6	0	0	1	3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae/lactis/taiwanensis
Staphylococcus aureus/caprae/epidermidis	0	0	0	0	579	0	0	0	0	80	0	0	0	0	0	18	0	0	0	0	18	0	0	326	0	0	0	0	0	0	192	0	0	2549	0	0	0	0	12	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	36	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	19	0	0	0	0	0	7	0	0	0	36	26	0	0	74	14	0	0	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus/caprae/epidermidis
