	geneNAME	S1	S28	S6
K07751	pepB; PepB aminopeptidase [EC:3.4.11.23]	0	0	191.435
K07755	AS3MT; arsenite methyltransferase [EC:2.1.1.137]	51.2118	15.7438	41.2323
K07757	ybiV; sugar-phosphatase [EC:3.1.3.23]	1.79691	0	0
K07768	senX3; two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]	3.59381	114.764	3.43602
K07770	cssR; two-component system, OmpR family, response regulator CssR	30.0982	0	0
K07771	basR; two-component system, OmpR family, response regulator BasR	0	0	3.43602
K07772	torR; two-component system, OmpR family, torCAD operon response regulator TorR	7.18763	0	0
K07773	arcA; two-component system, OmpR family, aerobic respiration control protein ArcA	4.49227	0	114.37
K07774	tctD; two-component system, OmpR family, response regulator TctD	503.583	0	0
K07775	resD; two-component system, OmpR family, response regulator ResD	30.0982	185.611	125.66
K07776	regX3; two-component system, OmpR family, response regulator RegX3	0	48.0601	0
K07777	degS; two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]	78.6147	0	0
K07778	desK; two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]	0	372.051	159.53
K07783	uhpC; MFS transporter, OPA family, sugar phosphate sensor protein UhpC	169.808	0	29.4516
K07784	uhpT; MFS transporter, OPA family, hexose phosphate transport protein UhpT	19.3167	544.819	42.7048
K07786	emrY; MFS transporter, DHA2 family, multidrug resistance protein	13.0276	0	0
K07787	cusA, silA; copper/silver efflux system protein	232.25	43.5026	125.66
K07788	mdtB; multidrug efflux pump	710.227	0	0
K07789	mdtC; multidrug efflux pump	699.446	0	0
K07791	dcuA; anaerobic C4-dicarboxylate transporter DcuA	63.7902	206.327	53.0129
K07792	dcuB; anaerobic C4-dicarboxylate transporter DcuB	57.9502	127.193	462.39
K07793	tctA; putative tricarboxylic transport membrane protein	1006.27	171.939	11.7806
K07794	tctB; putative tricarboxylic transport membrane protein	120.842	58.4178	0
K07795	tctC; putative tricarboxylic transport membrane protein	289.751	48.8887	0
K07796	cusC, silC; outer membrane protein, copper/silver efflux system	1.79691	0	0
K07798	cusB, silB; membrane fusion protein, copper/silver efflux system	174.3	0	8.83548
K07799	mdtA; membrane fusion protein, multidrug efflux system	221.019	0	0
K07800	agrD; AgrD protein	8.98453	101.92	0
K07804	pagC; putatice virulence related protein PagC	40.4304	0	0
K07806	arnB, pmrH; UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]	1.79691	0	0
K07807	K07807; uncharacterized protein	25.1567	0	0
K07811	torA; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]	53.0087	0	70.6839
K07812	torZ; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]	33.2428	0	287.153
K07813	agrB; accessory gene regulator B	196.312	360.45	2.4543
K07814	K07814; cyclic di-GMP phosphodiesterase [EC:3.1.4.-]	66.0363	0	0
K07816	E2.7.6.5; GTP pyrophosphokinase [EC:2.7.6.5]	123.088	810.392	281.263
K07821	torY; trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY	8.53531	0	127.133
K07823	pcaF; 3-oxoadipyl-CoA thiolase [EC:2.3.1.174]	0	16.9867	0
K07862	sstT; serine/threonine transporter	33.2428	159.51	467.79
K07978	plmA; GntR family transcriptional regulator	9.88299	0	0
K07979	ytrA; GntR family transcriptional regulator	116.35	236.986	234.14
K07991	flaK; archaeal preflagellin peptidase FlaK [EC:3.4.23.52]	3.59381	0	0
K08059	IFI30, GILT; interferon, gamma-inducible protein 30	0	13.2579	0
K08068	siaA, neuC1; UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]	21.5629	0	106.026
K08070	E1.3.1.74; 2-alkenal reductase [EC:1.3.1.74]	3.59381	0	0
K08077	NUDT14; UDP-sugar diphosphatase [EC:3.6.1.45]	0	0	4.9086
K08082	algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]	0	21.9585	0
K08083	algR; two-component system, LytTR family, response regulator AlgR	0	36.8737	0
K08084	fimT; type IV fimbrial biogenesis protein FimT	28.3013	36.4593	51.0495
K08085	fimU; type IV fimbrial biogenesis protein FimU	0	26.1016	0
K08086	fimV; pilus assembly protein FimV	292.896	0	158.548
K08087	fimW; fimbrial protein FimW	4.04304	0	0
K08092	dlgD; 3-dehydro-L-gulonate 2-dehydrogenase [EC:1.1.1.130]	28.3013	0	35.3419
K08093	hxlA; 3-hexulose-6-phosphate synthase [EC:4.1.2.43]	9.43376	323.991	175.237
K08094	hxlB; 6-phospho-3-hexuloisomerase [EC:5.3.1.27]	2.24613	243.615	0
K08100	E1.3.3.5; bilirubin oxidase [EC:1.3.3.5]	45.3719	0	97.6812
K08137	galP; MFS transporter, SP family, galactose:H+ symporter	9.43376	0	0
K08138	xylE; MFS transporter, SP family, xylose:H+ symportor	287.056	78.3047	0
K08139	HXT; MFS transporter, SP family, sugar:H+ symporter	98.3806	112.693	0
K08151	tetA; MFS transporter, DHA1 family, tetracycline resistance protein	108.713	0	91.3
K08152	lmrP; MFS transporter, DHA1 family, multidrug resistance protein B	0	231.6	51.5403
K08153	blt; MFS transporter, DHA1 family, multidrug resistance protein	105.568	0	28.4699
K08156	araJ; MFS transporter, DHA1 family, arabinose polymer utilization protein	70.0794	37.7023	5.89032
K08159	sotB; MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein	82.6577	66.704	90.3183
K08160	mdfA, cmr; MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein	15.2737	46.8171	0
K08161	mdtG; MFS transporter, DHA1 family, multidrug resistance protein	48.0672	397.324	193.399
K08162	mdtH; MFS transporter, DHA1 family, multidrug resistance protein	20.2152	0	0
K08163	mdtL; MFS transporter, DHA1 family, multidrug resistance protein	9.88299	0	0
K08164	ybcL; MFS transporter, DHA1 family, putative efflux transporter	8.98453	0	0
K08166	mmr; MFS transporter, DHA2 family, methylenomycin A resistance protein	72.7747	0	0
K08167	smvA, qacA, lfrA; MFS transporter, DHA2 family, multidrug resistance protein	184.183	78.7191	7.3629
K08168	tetB; MFS transporter, DHA2 family, metal-tetracycline-proton antiporter	1.79691	228.7	2.4543
K08169	yebQ; MFS transporter, DHA2 family, multidrug resistance protein	643.293	53.8604	0
K08170	norB, norC; MFS transporter, DHA2 family, multidrug resistance protein	0	585.835	34.3602
K08172	shiA; MFS transporter, MHS family, shikimate and dehydroshikimate transport protein	4.94149	0	0
K08173	ydfJ; MFS transporter, MHS family, metabolite:H+ symporter	3.14459	0	36.3237
K08174	glcP; MFS transporter, FHS family, glucose/mannose:H+ symporter	0	0	1.96344
K08177	oxlT; MFS transporter, OFA family, oxalate/formate antiporter	122.19	108.964	62.8301
K08178	JEN; MFS transporter, SHS family, lactate transporter	2.24613	0	0
K08191	exuT; MFS transporter, ACS family, hexuronate transporter	154.983	121.807	3.43602
K08194	dgoT; MFS transporter, ACS family, D-galactonate transporter	22.0121	21.9585	0
K08195	pcaK; MFS transporter, AAHS family, 4-hydroxybenzoate transporter	314.459	52.6175	0
K08196	mucK; MFS transporter, AAHS family, cis,cis-muconate transporter	15.7229	79.5477	198.798
K08217	mef; MFS transporter, DHA3 family, macrolide efflux protein	20.2152	38.5309	64.7935
K08218	ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	340.514	172.768	267.519
K08219	UMF2; MFS transporter, UMF2 family, putative MFS family transporter protein	4.04304	0	0
K08221	yitG, ymfD, yfmO; MFS transporter, ACDE family, multidrug resistance protein	0	50.9602	0
K08223	fsr; MFS transporter, FSR family, fosmidomycin resistance protein	159.026	89.0768	17.1801
K08224	ynfM; MFS transporter, YNFM family, putative membrane transport protein	256.059	165.31	4.9086
K08225	entS; MFS transporter, ENTS family, enterobactin (siderophore) exporter	70.0794	25.273	0
K08227	lplT; MFS transporter, LPLT family, lysophospholipid transporter	0	48.4744	5.89032
K08234	yaeR; glyoxylase I family protein	30.5474	40.1881	277.827
K08252	E2.7.10.1; receptor protein-tyrosine kinase [EC:2.7.10.1]	30.0982	45.9885	0
K08255	cdr; CoA-disulfide reductase [EC:1.8.1.14]	0	274.274	0
K08256	pimA; phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345]	2.24613	42.674	0
K08258	sspB2, sspP, scpA; staphopain A [EC:3.4.22.48]	0	237.814	0
K08259	lytM; lysostaphin [EC:3.4.24.75]	159.026	144.18	0
K08279	caiE; carnitine operon protein CaiE	4.04304	26.9302	7.85376
K08280	wbbJ; lipopolysaccharide O-acetyltransferase [EC:2.3.1.-]	4.04304	3.31449	0
K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	108.264	125.95	198.308
K08282	E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]	919.567	0	31.9059
K08289	purT; phosphoribosylglycinamide formyltransferase 2 [EC:6.3.1.21]	284.81	66.2897	164.438
K08295	abmG; 2-aminobenzoate-CoA ligase [EC:6.2.1.32]	374.206	55.1033	0
K08296	sixA; phosphohistidine phosphatase [EC:3.1.3.-]	37.735	69.1899	245.43
K08297	caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]	0	71.6758	0
K08298	caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	1.79691	22.7871	0
K08299	caiD; crotonobetainyl-CoA hydratase [EC:4.2.1.149]	44.0242	46.8171	0
K08300	rne; ribonuclease E [EC:3.1.26.12]	536.377	370.808	675.914
K08301	rng, cafA; ribonuclease G [EC:3.1.26.-]	477.977	420.94	504.604
K08302	gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]	57.501	36.4593	45.1591
K08303	prtC, trhP; U32 family peptidase [EC:3.4.-.-]	669.797	866.324	1229.6
K08304	mltA; membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]	177.894	0	354.401
K08305	mltB; membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]	451.922	67.1183	114.37
K08306	mltC; membrane-bound lytic murein transglycosylase C [EC:4.2.2.-]	7.63685	0	161.002
K08307	mltD, dniR; membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]	314.459	118.907	324.459
K08309	slt; soluble lytic murein transglycosylase [EC:4.2.2.-]	434.851	53.4461	487.424
K08310	nudB, ntpA; dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]	2.24613	0	144.804
K08311	nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]	115.002	9.94346	170.819
K08312	nudE; ADP-ribose diphosphatase [EC:3.6.1.-]	0	0	49.086
K08313	fsaA, mipB; fructose-6-phosphate aldolase 1 [EC:4.1.2.-]	8.98453	0	0
K08314	fsaB, talC; fructose-6-phosphate aldolase 2 [EC:4.1.2.-]	52.1103	109.792	200.271
K08315	hycI; hydrogenase 3 maturation protease [EC:3.4.23.51]	0	0	2.4543
K08316	rsmD; 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	248.422	292.918	397.597
K08317	hcxA; hydroxycarboxylate dehydrogenase A [EC:1.1.1.-]	19.3167	29.0018	231.195
K08318	yihU; 4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]	106.017	0	0
K08319	ltnD; L-threonate 2-dehydrogenase [EC:1.1.1.411]	11.6799	0	19.6344
K08321	lsrF; 3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase [EC:2.3.1.245]	5.83995	0	6.38118
K08322	rspB; L-gulonate 5-dehydrogenase [EC:1.1.1.380]	45.3719	65.8754	0
K08323	rspA, manD; mannonate dehydratase [EC:4.2.1.8]	65.5871	0	18.6527
K08324	sad; succinate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.24]	0	0	77.065
K08325	yqhD; NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]	131.174	40.1881	105.044
K08326	ypdF; aminopeptidase [EC:3.4.11.-]	3.59381	0	0
K08344	scsB; suppressor for copper-sensitivity B	74.1224	0	0
K08348	fdnG; formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]	41.3288	0	0
K08349	fdnH; formate dehydrogenase-N, beta subunit	4.04304	0	2.94516
K08351	bisC; biotin/methionine sulfoxide reductase [EC:1.-.-.-]	458.66	74.1616	0
K08353	phsB; thiosulfate reductase electron transport protein	9.43376	0	0
K08356	aoxB; arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1]	8.98453	0	0
K08357	ttrA; tetrathionate reductase subunit A	35.9381	0	64.3027
K08358	ttrB; tetrathionate reductase subunit B	84.9038	0	30.4333
K08359	ttrC; tetrathionate reductase subunit C	3.14459	0	6.87204
K08363	merT; mercuric ion transport protein	0	0	27.4882
K08364	merP; periplasmic mercuric ion binding protein	55.7041	27.7588	45.65
K08365	merR; MerR family transcriptional regulator, mercuric resistance operon regulatory protein	57.501	73.7473	0
K08368	yaaU; MFS transporter, putative metabolite transport protein	4.04304	86.1766	3.92688
K08369	ydjE; MFS transporter, putative metabolite:H+ symporter	149.143	72.0901	22.0887
K08372	pepD; putative serine protease PepD [EC:3.4.21.-]	0	369.151	1.96344
K08384	spoVD; stage V sporulation protein D (sporulation-specific penicillin-binding protein)	338.717	0	12.7624
K08475	pgtB; two-component system, NtrC family, phosphoglycerate transport system sensor histidine kinase PgtB [EC:2.7.13.3]	0	0	8.34462
K08476	pgtA; two-component system, NtrC family, phosphoglycerate transport system response regulator PgtA	0	0	1.96344
K08478	pgtC; phosphoglycerate transport regulatory protein PgtC	0	0	18.1618
K08482	kaiC; circadian clock protein KaiC	1.79691	0	0
K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]	539.97	681.956	929.689
K08484	ptsP; phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]	10.7814	71.6758	0
K08485	ptsO, npr; phosphocarrier protein NPr	3.14459	6.62897	0
K08586	tpr; thiol protease [EC:3.4.22.-]	0	0	70.193
K08587	cloSI; clostripain [EC:3.4.22.8]	6.28917	0	0
K08589	rgpA_B; gingipain R [EC:3.4.22.37]	0	0	531.602
K08591	plsY; acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]	202.152	373.294	530.62
K08597	SENP8, NEDP1, DEN1; sentrin-specific protease 8 [EC:3.4.22.68]	0	0	8.83548
K08600	srtB; sortase B [EC:3.4.22.71]	66.0363	227.042	40.7414
K08602	pepF, pepB; oligoendopeptidase F [EC:3.4.24.-]	141.956	650.882	484.479
K08604	hap, nprV; vibriolysin [EC:3.4.24.25]	3.59381	0	0
K08640	E3.4.17.14; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	21.5629	0	0
K08641	vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	74.1224	26.5159	84.9188
K08642	lasA; LasA protease [EC:3.4.24.-]	5.39072	0	0
K08643	zmpB; zinc metalloprotease ZmpB [EC:3.4.24.-]	0	315.705	553.199
K08651	E3.4.21.66; thermitase [EC:3.4.21.66]	36.3874	0	5.39946
K08652	C5AP, scpA, scpB; C5a peptidase [EC:3.4.21.110]	0	345.95	188.981
K08659	pepDA, pepDB; dipeptidase [EC:3.4.-.-]	0	49.7173	87.864
K08675	PRSS15, PIM1; ATP-dependent Lon protease [EC:3.4.21.53]	0	0	4.9086
K08676	tri; tricorn protease [EC:3.4.21.-]	283.013	193.897	0
K08677	K08677; kumamolisin	0	10.7721	0
K08678	UXS1, uxs; UDP-glucuronate decarboxylase [EC:4.1.1.35]	143.303	18.644	0
K08679	GAE, cap1J; UDP-glucuronate 4-epimerase [EC:5.1.3.6]	128.928	44.7456	98.6629
K08680	menH; 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [EC:4.2.99.20]	7.18763	203.841	103.571
K08681	pdxT, pdx2; pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]	40.8796	259.773	87.864
K08688	E3.5.3.3; creatinase [EC:3.5.3.3]	0	57.1749	15.7075
K08689	bphAa, bphA1, bphA; biphenyl 2,3-dioxygenase subunit alpha [EC:1.14.12.18]	88.0484	0	0
K08691	mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	0	24.4443	0
K08693	yfkN; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]	0	247.758	172.783
K08715	IRPC; inward rectifier potassium channel	0	0	1.96344
K08717	utp; urea transporter	7.63685	377.851	0
K08721	oprJ; outer membrane protein, multidrug efflux system	333.326	0	0
K08722	yfbR; 5'-deoxynucleotidase [EC:3.1.3.89]	0	0	20.6161
K08723	yjjG; pyrimidine 5'-nucleotidase [EC:3.1.3.-]	0	82.4478	252.793
K08724	pbpB; penicillin-binding protein 2B	1.79691	600.336	409.377
K08728	E2.4.2.6; nucleoside deoxyribosyltransferase [EC:2.4.2.6]	114.553	0	10.3081
K08738	CYC; cytochrome c	173.851	0	25.5247
K08744	CRLS; cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	158.577	184.783	141.368
K08776	NPEPPS; puromycin-sensitive aminopeptidase [EC:3.4.11.14]	3.14459	364.593	12.2715
K08777	nprB; neutral peptidase B [EC:3.4.24.-]	5.83995	0	0
K08869	ADCK, ABC1; aarF domain-containing kinase	8.08608	0	0
K08884	K08884; serine/threonine protein kinase, bacterial [EC:2.7.11.1]	172.054	1266.13	585.596
K08956	AFG3; AFG3 family protein [EC:3.4.24.-]	0	0	8.34462
K08961	K08961; chondroitin-sulfate-ABC endolyase/exolyase [EC:4.2.2.20 4.2.2.21]	229.106	0	1.96344
K08963	mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]	62.4425	0	1.96344
K08965	mtnW; 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [EC:5.3.2.5]	19.3167	0	10.3081
K08966	mtnX; 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]	1.79691	0	0
K08968	msrC; L-methionine (R)-S-oxide reductase [EC:1.8.4.14]	238.09	415.139	299.916
K08969	mtnE, mtnV; L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]	27.852	249.001	29.9425
K08970	rcnA; nickel/cobalt transporter (NicO) family protein	48.9657	0	0
K08972	K08972; putative membrane protein	127.131	29.8304	77.065
K08973	hemJ; protoporphyrinogen IX oxidase [EC:1.3.99.-]	174.749	8.28622	108.48
K08974	K08974; putative membrane protein	88.9469	391.524	277.336
K08976	K08976; putative membrane protein	0	174.839	2.4543
K08978	TC.BAT1; bacterial/archaeal transporter family protein	115.9	72.0901	106.026
K08981	K08981; putative membrane protein	28.3013	431.298	78.0468
K08982	K08982; putative membrane protein	42.2273	0	105.044
K08983	K08983; putative membrane protein	139.26	0	0
K08984	yjdF; putative membrane protein	209.34	18.2297	29.4516
K08986	ycgQ; putative membrane protein	58.3995	112.278	188.49
K08987	K08987; putative membrane protein	0	177.739	213.524
K08988	K08988; putative membrane protein	6.28917	0	0
K08990	ycjF; putative membrane protein	13.4768	0	142.349
K08992	lapA; lipopolysaccharide assembly protein A	122.639	0	135.968
K08994	yneE, BEST; ion channel-forming bestrophin family protein	57.0518	34.8021	26.9973
K08995	K08995; putative membrane protein	153.186	0	2.94516
K08996	yagU; putative membrane protein	0	252.73	36.3237
K08997	SELENOO, selO; protein adenylyltransferase [EC:2.7.7.108]	4.04304	67.5327	4.9086
K08998	K08998; uncharacterized protein	96.5837	174.839	448.155
K08999	K08999; uncharacterized protein	39.5319	95.7058	9.8172
K09000	cmr4; CRISPR-associated protein Cmr4	8.53531	0	21.5978
K09001	anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]	159.475	15.3295	280.281
K09002	csm3; CRISPR-associated protein Csm3	0	18.2297	0
K09003	K09003; uncharacterized protein	40.8796	0	0
K09004	K09004; uncharacterized protein	21.5629	0	104.553
K09005	K09005; uncharacterized protein	235.844	0	8.34462
K09007	folE2; GTP cyclohydrolase IB [EC:3.5.4.16]	232.699	236.986	106.517
K09009	K09009; uncharacterized protein	0	24.8586	0
K09011	cimA; (R)-citramalate synthase [EC:2.3.3.21]	93.4391	39.3595	2.4543
K09013	sufC; Fe-S cluster assembly ATP-binding protein	94.3376	474.386	376.981
K09014	sufB; Fe-S cluster assembly protein SufB	109.162	623.538	538.474
K09015	sufD; Fe-S cluster assembly protein SufD	119.494	584.593	474.662
K09016	rutG; putative pyrimidine permease RutG	1.79691	41.4311	7.85376
K09017	rutR; TetR/AcrR family transcriptional regulator	180.589	16.1581	0
K09019	rutE; 3-hydroxypropanoate dehydrogenase [EC:1.1.1.-]	176.546	28.1731	8.34462
K09020	rutB; ureidoacrylate peracid hydrolase [EC:3.5.1.110]	6.7384	20.3012	0
K09021	rutC; aminoacrylate peracid reductase	1.79691	0	0
K09022	ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	239.438	307.833	365.2
K09023	rutD; aminoacrylate hydrolase [EC:3.5.1.-]	128.479	0	0
K09024	rutF; flavin reductase [EC:1.5.1.-]	3.14459	36.8737	53.0129
K09065	argF; N-acetylornithine carbamoyltransferase [EC:2.1.3.9]	76.3685	65.0468	35.3419
K09116	K09116; damage-control phosphatase, subfamily I [EC:3.1.3.-]	3.59381	0	0
K09117	K09117; uncharacterized protein	280.317	117.25	298.443
K09118	K09118; uncharacterized protein	221.019	303.69	8.83548
K09121	larC; pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]	143.753	45.1599	21.5978
K09123	lhpI; cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]	336.022	0	0
K09124	K09124; uncharacterized protein	75.0208	0	0
K09125	yhhQ; queuosine precursor transporter	180.589	412.239	188.981
K09126	K09126; uncharacterized protein	27.4028	0	0
K09127	cmr3; CRISPR-associated protein Cmr3	0	0	22.0887
K09128	acnX2; mevalonate 5-phosphate dehydratase small subunit [EC:4.2.1.-]	126.682	0	0
K09131	K09131; uncharacterized protein	4.49227	0	56.4489
K09133	K09133; uncharacterized protein	30.5474	0	0
K09136	ycaO; ribosomal protein S12 methylthiotransferase accessory factor	9.88299	182.711	264.083
K09137	K09137; uncharacterized protein	83.1069	0	0
K09138	K09138; uncharacterized protein	40.8796	0	0
K09141	K09141; uncharacterized protein	7.18763	0	0
K09142	SPOUT1; methyltransferase [EC:2.1.1.-]	1.79691	0	0
K09144	K09144; uncharacterized protein	83.5561	22.3728	1.96344
K09145	K09145; uncharacterized protein	0	244.858	0
K09146	K09146; uncharacterized protein	0	0	6.87204
K09153	K09153; small membrane protein	14.8245	62.1466	78.0468
K09155	K09155; uncharacterized protein	24.7075	77.8904	352.928
K09157	K09157; uncharacterized protein	150.491	128.851	444.719
K09158	K09158; uncharacterized protein	104.221	14.5009	131.06
K09159	cptB; antitoxin CptB	63.7902	33.5592	83.9371
K09160	K09160; uncharacterized protein	0	14.0866	99.6446
K09161	K09161; uncharacterized protein	26.5044	0	2.4543
K09163	K09163; uncharacterized protein	27.4028	0	0
K09164	K09164; uncharacterized protein	0	0	40.7414
K09165	K09165; dodecin	196.312	24.4443	0
K09166	K09166; uncharacterized protein	0	24.4443	0
K09167	K09167; uncharacterized protein	24.7075	437.927	52.0312
K09181	yfiQ; acetyltransferase	1155.86	4.97173	301.879
K09190	K09190; uncharacterized protein	4.94149	38.5309	0
K09251	patA; putrescine aminotransferase [EC:2.6.1.82]	78.6147	0	0
K09384	K09384; uncharacterized protein	136.565	116.007	57.9215
K09386	K09386; uncharacterized protein	273.13	15.7438	0
K09456	aidB; putative acyl-CoA dehydrogenase	208.441	98.1917	0
K09457	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	259.204	147.495	97.1903
K09458	fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	850.835	476.457	778.504
K09459	E4.1.1.82; phosphonopyruvate decarboxylase [EC:4.1.1.82]	95.236	0	0
K09461	E1.14.13.40; anthraniloyl-CoA monooxygenase [EC:1.14.13.40]	625.773	123.465	4.9086
K09469	aepZ; 2-aminoethylphosphonate-pyruvate transaminase	65.5871	0	0
K09471	puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]	76.8178	0	210.579
K09472	puuC, aldH; 4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]	349.948	43.5026	0
K09473	puuD; gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]	8.98453	0	0
K09474	phoN; acid phosphatase (class A) [EC:3.1.3.2]	114.553	26.9302	0
K09475	ompC; outer membrane pore protein C	28.7505	0	0
K09476	ompF; outer membrane pore protein F	45.8211	0	0
K09477	citT; citrate:succinate antiporter	6.7384	0	0
K09516	RETSAT; all-trans-retinol 13,14-reductase [EC:1.3.99.23]	0	0	8.83548
K09527	DNAJC7; DnaJ homolog subfamily C member 7	0	0	2.4543
K09538	DNAJC18; DnaJ homolog subfamily C member 18	0	15.3295	0
K09552	SPG7; spastic paraplegia 7 [EC:3.4.24.-]	0	1.65724	0
K09607	ina; immune inhibitor A [EC:3.4.24.-]	1.79691	0	99.1538
K09610	ECEL1; endothelin-converting enzyme-like 1 [EC:3.4.24.-]	0	9.11484	0
K09611	NPEPL1; probable aminopeptidase NPEPL1 [EC:3.4.11.-]	10.3322	0	0
K09650	PARL, PSARL, PCP1; rhomboid-like protein [EC:3.4.21.105]	36.3874	7.45759	75.1016
K09680	PANK1_2_3, CAB1, coaW; type II pantothenate kinase [EC:2.7.1.33]	12.5783	265.159	0
K09681	gltC; LysR family transcriptional regulator, transcription activator of glutamate synthase operon	0	79.962	0
K09682	hpr; MarR family transcriptional regulator, protease production regulatory protein HPr	0	29.4161	0
K09684	pucR; PucR family transcriptional regulator, purine catabolism regulatory protein	155.882	249.415	3.92688
K09685	purR; purine operon repressor	124.885	324.405	311.696
K09688	kpsM; capsular polysaccharide transport system permease protein	161.722	0	169.347
K09689	kpsT; capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12]	197.66	0	133.023
K09690	wzm, rfbA; lipopolysaccharide transport system permease protein	128.03	82.8622	0
K09691	wzt, rbfB; lipopolysaccharide transport system ATP-binding protein	145.1	182.711	209.106
K09692	tagG; teichoic acid transport system permease protein	22.0121	538.19	0
K09693	tagH; teichoic acid transport system ATP-binding protein [EC:7.5.2.4]	19.766	797.134	163.456
K09694	nodJ; lipooligosaccharide transport system permease protein	44.4734	49.7173	136.459
K09695	nodI; lipooligosaccharide transport system ATP-binding protein	112.756	34.8021	135.968
K09696	natB; sodium transport system permease protein	81.7592	0	13.7441
K09697	natA; sodium transport system ATP-binding protein [EC:7.2.2.4]	21.1137	0	9.8172
K09698	gltX; nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]	207.992	399.396	443.738
K09699	DBT, bkdB; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]	35.9381	350.093	5.39946
K09702	K09702; uncharacterized protein	32.7935	11.6007	140.877
K09703	K09703; uncharacterized protein	0	45.9885	1.47258
K09704	K09704; uncharacterized protein	166.214	130.508	159.53
K09705	K09705; uncharacterized protein	94.7868	348.435	0
K09706	K09706; uncharacterized protein	8.08608	0	0
K09707	K09707; uncharacterized protein	45.3719	15.3295	12.2715
K09709	meh; 3-methylfumaryl-CoA hydratase [EC:4.2.1.153]	119.944	0	0
K09710	ybeB; ribosome-associated protein	154.085	227.457	437.356
K09711	lipS1; lipoyl synthase	0	0	3.92688
K09712	K09712; uncharacterized protein	0	0	36.3237
